epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.316,2.07968,4.01859,2.23018,0.00631,1,0.3438,0.07199,2.00098,4.50868,2.21676,0.00020004,0.00020004,0.00020004
2,209.084,1.62306,3.16453,1.83003,0.96145,0.25,0.54497,0.27475,1.5313,3.59414,1.99128,0.000396121,0.000396121,0.000396121
3,306.649,1.55043,2.68655,1.73563,0.41571,0.2,0.17351,0.07975,2.00883,4.03402,2.50907,0.000570747,0.000570747,0.000570747
4,402.914,1.59441,2.52185,1.67709,0.21332,0.3,0.15974,0.05718,2.54144,4.46248,2.94751,0.00072392,0.00072392,0.00072392
5,499.931,1.48229,2.32669,1.62512,0.3009,0.25,0.12495,0.05006,2.24234,5.08488,2.51293,0.000855638,0.000855638,0.000855638
6,599.421,1.50361,2.29565,1.64305,0.31534,0.6,0.35801,0.13352,1.84207,4.1408,2.27231,0.000965901,0.000965901,0.000965901
7,695.845,1.35113,2.05212,1.49081,0.59961,0.3,0.32335,0.18869,1.89192,5.53356,2.81462,0.00105471,0.00105471,0.00105471
8,789.546,1.34188,1.89143,1.50755,0.18096,0.4,0.12477,0.02607,2.76428,7.4528,5.20884,0.00108938,0.00108938,0.00108938
9,881.953,1.29355,1.84434,1.46805,0.21617,0.45,0.13065,0.03368,2.63743,8.60055,5.01539,0.00100687,0.00100687,0.00100687
10,972.393,1.26434,1.85431,1.46982,0.2191,0.3,0.09209,0.01364,3.11843,4.67865,5.31035,0.000924352,0.000924352,0.000924352
11,1066.57,1.22789,2.13453,1.55601,0.37198,0.25,0.18793,0.02446,3.01434,4.94914,4.4529,0.000841835,0.000841835,0.000841835
12,1158.76,1.14663,1.99045,1.53043,0.61188,0.63118,0.57026,0.16237,2.11993,3.35444,2.60892,0.000759318,0.000759318,0.000759318
13,1249.13,1.12053,1.78509,1.49313,0.71204,0.45,0.50326,0.19631,2.01594,2.85988,2.60965,0.000676802,0.000676802,0.000676802
14,1341.73,1.0584,1.78242,1.42706,0.76016,0.63455,0.59808,0.24755,2.1595,2.63237,2.97325,0.000594286,0.000594286,0.000594286
15,1435.59,0.98512,1.60566,1.38704,0.58715,0.7,0.6344,0.25296,2.08362,2.94878,2.73206,0.000511769,0.000511769,0.000511769
16,1527.36,1.01122,1.53019,1.3846,0.89532,0.85553,0.87564,0.54896,1.31848,1.56186,1.70991,0.000429253,0.000429253,0.000429253
17,1618.24,0.93744,1.42653,1.30689,0.89463,0.9,0.87333,0.59135,1.27014,1.43581,1.60021,0.000346736,0.000346736,0.000346736
18,1710.66,0.8642,1.35616,1.2964,0.89067,0.9,0.87611,0.60049,1.15059,1.49553,1.48538,0.00026422,0.00026422,0.00026422
19,1802.53,0.85702,1.35468,1.28959,0.93032,0.9,0.87132,0.61685,1.14438,1.4403,1.47123,0.000181703,0.000181703,0.000181703
20,1896.34,0.86994,1.28038,1.29243,0.93003,0.9,0.85816,0.63628,1.06387,1.36573,1.40723,9.91865e-05,9.91865e-05,9.91865e-05
